timeout,tool,malware,accuracy,coverage
180,droidbot,67.0,69.79166666666666,19.87725694444445
180,droidmate,64.33333333333333,67.01388888888889,16.81116319444445
180,humanoid,52.66666666666667,54.861111111111114,4.805555555555556
180,joke,42.0,43.75,0.0
180,monkey,65.66666666666667,68.40277777777779,24.54065972222223
