timeout,repetition,tool,app,malware,coverage
180,1,humanoid,app-14,True,0.0
180,1,humanoid,app-15,False,0.0
180,1,humanoid,app-16,True,0.0
180,1,humanoid,app-17,True,0.0
180,1,humanoid,app-18,True,0.0
180,1,humanoid,app-19,True,0.0
180,1,humanoid,app-2,False,31.25
180,1,humanoid,app-20,True,0.0
180,1,humanoid,app-21,True,0.0
180,1,humanoid,app-22,False,0.0
180,1,humanoid,app-23,True,0.0
180,1,humanoid,app-24,False,0.0
180,1,humanoid,app-26,True,0.0
180,1,humanoid,app-27,False,0.0
180,1,humanoid,app-28,True,0.0
180,1,humanoid,app-29,True,0.0
180,1,humanoid,app-3,True,8.715
180,1,humanoid,app-30,False,0.0
180,1,humanoid,app-31,False,0.0
180,1,humanoid,app-33,False,0.0
180,1,humanoid,app-34,False,0.0
180,1,humanoid,app-35,False,0.0
180,1,humanoid,app-37,False,0.0
180,1,humanoid,app-38,False,0.0
180,1,humanoid,app-39,False,0.0
180,1,humanoid,app-4,False,0.0
180,1,humanoid,app-40,False,0.0
180,1,humanoid,app-42,True,10.649999999999999
180,1,humanoid,app-43,True,0.0
180,1,humanoid,app-44,True,0.0
180,1,humanoid,app-45,True,0.0
180,1,humanoid,app-46,True,0.0
180,1,humanoid,app-47,True,12.985
180,1,humanoid,app-48,False,0.0
180,1,humanoid,app-49,True,33.334999999999994
180,1,humanoid,app-5,False,0.0
180,1,humanoid,app-50,True,0.0
180,1,humanoid,app-51,True,15.9
180,1,humanoid,app-52,True,0.0
180,1,humanoid,app-53,True,20.810000000000002
180,1,humanoid,app-54,True,0.0
180,1,humanoid,app-55,True,0.0
180,1,humanoid,app-56,False,0.0
180,1,humanoid,app-57,True,0.0
180,1,humanoid,app-58,True,34.62
180,1,humanoid,app-59,True,30.740000000000002
180,1,humanoid,app-6,False,0.0
180,1,humanoid,app-60,True,0.0
180,1,humanoid,app-61,True,0.0
180,1,humanoid,app-62,False,0.0
180,1,humanoid,app-63,False,0.0
180,1,humanoid,app-64,True,0.0
180,1,humanoid,app-65,False,0.0
